NTR Code,Name,Unit
SUGAR.added,Added sugar,g
CA,"Calcium, Ca",mg
CHOCDF.net,Carbohydrate (net),g
CHOCDF,"Carbohydrate, by difference",g
CHOLE,Cholesterol,mg
ENERC_KCAL,Energy,kcal
FAMS,"Fatty acids, total monounsaturated",g
FAPU,"Fatty acids, total polyunsaturated",g
FASAT,"Fatty acids, total saturated",g
FATRN,"Fatty acids, total trans",g
FIBTG,"Fiber, total dietary",g
FOLDFE,"Folate, DFE",µg
FOLFD,"Folate, food",µg
FOLAC,Folic acid,µg
FE,"Iron, Fe",mg
MG,Magnesium,mg
NIA,Niacin,mg
P,"Phosphorus, P",mg
K,"Potassium, K",mg
PROCNT,Protein,g
RIBF,Riboflavin,mg
NA_,"Sodium, Na",mg
Sugar.alcohol,Sugar alcohols,g
SUGAR,"Sugars, total",g
THIA,Thiamin,mg
FAT,Total lipid (fat),g
VITA_RAE,"Vitamin A, RAE",µg
VITB12,Vitamin B-12,µg
VITB6A,Vitamin B-6,mg
VITC,"Vitamin C, total ascorbic acid",mg
VITD,Vitamin D (D2 + D3),µg
TOCPHA,Vitamin E (alpha-tocopherol),mg
VITK1,Vitamin K (phylloquinone),µg
WATER,Water,g
ZN,"Zinc, Zn",mg
,,
